"P0",,,,,"P1",,,,"P2",,,
"Index [1]","X [mm]","Y [mm]","U [mm]","V [mm]","X [mm]","Y [mm]","U [mm]","V [mm]","X [mm]","Y [mm]","U [mm]","V [mm]"
0,3.48639,13.1489,0,0,3.5463,11.6245,0,0,5.10013,11.6548,0,0
1,3.48639,13.1489,0.0013029,-0.000106123,3.5463,11.6245,0.001436,-4.26678e-05,5.10013,11.6548,0.00115822,0.000120935
2,3.48639,13.1489,0.000545936,-9.81914e-05,3.5463,11.6245,0.000750103,0.000255688,5.10013,11.6548,0.000365457,0.000190001
3,3.48639,13.1489,-0.00167501,0.00812568,3.5463,11.6245,-0.00195791,0.00818892,5.10013,11.6548,-0.00199459,0.00821517
4,3.48639,13.1489,0.000255608,0.016606,3.5463,11.6245,0.00036123,0.016997,5.10013,11.6548,0.000167528,0.0170356
5,3.48639,13.1489,0.00193529,0.034591,3.5463,11.6245,0.00227998,0.0344677,5.10013,11.6548,0.00190383,0.034763
6,3.48639,13.1489,0.00212394,0.0517694,3.5463,11.6245,0.00221408,0.0520556,5.10013,11.6548,0.00188049,0.05199
7,3.48639,13.1489,0.00267909,0.0683004,3.5463,11.6245,0.00295129,0.0686013,5.10013,11.6548,0.00276115,0.0683245
8,3.48639,13.1489,0.00179176,0.0849977,3.5463,11.6245,0.00209151,0.0854864,5.10013,11.6548,0.00157293,0.0854159
9,3.48639,13.1489,0.00198886,0.102843,3.5463,11.6245,0.00224812,0.102927,5.10013,11.6548,0.00187628,0.102947
10,3.48639,13.1489,0.00299415,0.120169,3.5463,11.6245,0.00353598,0.120188,5.10013,11.6548,0.00298769,0.119994
11,3.48639,13.1489,0.00366992,0.137605,3.5463,11.6245,0.00397064,0.137637,5.10013,11.6548,0.00357802,0.137408
12,3.48639,13.1489,0.00312238,0.15619,3.5463,11.6245,0.00344751,0.156347,5.10013,11.6548,0.0029913,0.156354
13,3.48639,13.1489,0.00293144,0.172489,3.5463,11.6245,0.0032677,0.172931,5.10013,11.6548,0.00278874,0.172794
14,3.48639,13.1489,0.00259216,0.184845,3.5463,11.6245,0.00303018,0.18542,5.10013,11.6548,0.00255738,0.185223
